,
Irish,English
mar,as
mé,I
a,his
go,that
sé,he
bhí,was
do,for
ar,on
Tá,are
le,with
siad,they
bheith,be
ag,at
amháin,one
tá,have
seo,this
ó,from
ag,by
te,hot
focal,word
ach,but
cad,what
roinnt,some
tá,is
sé,it
tú,you
nó,or
bhí,had
an,the
ar,of
go,to
agus,and
a,a
i,in
againn,we
Is féidir,can
amach,out
eile,other
bhí,were
a,which
dhéanamh,do
n-,their
am,time
más rud é,if
beidh,will
conas,how
dúirt,said
ar,an
gach,each
insint,tell
dhéanann,does
leagtha,set
trí,three
Ba mhaith,want
aer,air
go maith,well
freisin,also
imirt,play
beag,small
deireadh,end
chur,put
baile,home
léamh,read
lámh,hand
calafoirt,port
mór,large
litriú,spell
cuir,add
fiú,even
talamh,land
anseo,here
Ní mór,must
mór,big
ard,high
den sórt sin a,such
leanúint,follow
gníomh,act
cén fáth,why
a iarraidh,ask
fir,men
athraithe,change
chuaigh,went
solas,light
chineál,kind
amach,off
Ní mór,need
teach,house
pictiúr,picture
iarracht,try